Order,Lock,Vuser,DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
4,Adaptive Lock,800,2026-04-22 19:19:20,12,44,0,7.591,4.03,22.0,165.0,3630.0,44,0,1.864,2.75
4,Adaptive Lock,800,2026-04-22 19:19:22,0,12,0,8.0,2.55,6.0,165.0,990.0,12,0,2.333,3.333
4,Adaptive Lock,1000,2026-04-22 19:30:25,908,92,0,442.12,218.714,46.0,81.0,3726.0,0,0,148.283,185.348
4,Adaptive Lock,1000,2026-04-22 19:30:27,817,195,0,448.667,461.241,97.5,118.477,11551.5,87,0,107.564,145.538
4,Adaptive Lock,1000,2026-04-22 19:30:29,509,216,0,841.815,355.544,108.0,165.0,17820.0,216,0,212.713,311.926
4,Adaptive Lock,1000,2026-04-22 19:30:31,153,445,0,578.822,406.572,222.5,165.0,36712.5,445,0,177.258,238.038
4,Adaptive Lock,1000,2026-04-22 19:30:33,12,47,0,8.213,4.612,23.5,165.0,3877.5,47,0,1.915,3.128
4,Adaptive Lock,1000,2026-04-22 19:30:35,1,4,0,9.5,1.5,2.0,165.0,330.0,4,0,3.0,4.25
4,Adaptive Lock,1000,2026-04-22 19:30:37,0,1,0,10.0,0.0,0.5,165.0,82.5,1,0,3.0,4.0
5,Pessimistic Lock,500,2026-04-13 03:44:54,420,91,0,14.187,15.247,45.5,81.0,3685.5,0,0,3.066,5.396
5,Pessimistic Lock,500,2026-04-13 03:44:56,352,313,0,455.677,297.555,156.5,135.748,21244.5,204,0,174.722,228.818
5,Pessimistic Lock,500,2026-04-13 03:44:58,21,85,0,456.129,501.383,42.5,165.0,7012.5,85,0,142.165,173.871
5,Pessimistic Lock,500,2026-04-13 03:45:00,2,9,0,8.222,1.988,4.5,165.0,742.5,9,0,2.667,3.667
5,Pessimistic Lock,500,2026-04-13 03:45:02,0,2,0,11.0,0.0,1.0,165.0,165.0,2,0,4.0,5.5
5,Pessimistic Lock,800,2026-04-13 03:56:06,716,89,0,15.618,13.842,44.5,81.0,3604.5,0,0,3.64,6.258
5,Pessimistic Lock,800,2026-04-13 03:56:08,626,94,0,210.085,149.299,47.0,81.0,3807.0,0,0,66.84,92.787
5,Pessimistic Lock,800,2026-04-13 03:56:10,456,359,0,740.786,505.558,179.5,161.022,28903.5,342,0,199.805,265.173
5,Pessimistic Lock,800,2026-04-13 03:56:12,21,247,0,620.603,428.205,123.5,165.0,20377.5,247,0,170.591,254.834
5,Pessimistic Lock,800,2026-04-13 03:56:14,1,10,0,6.0,2.757,5.0,165.0,825.0,10,0,1.8,2.7
5,Pessimistic Lock,800,2026-04-13 03:56:16,0,1,0,8.0,0.0,0.5,165.0,82.5,1,0,2.0,3.0
5,Pessimistic Lock,1000,2026-04-13 04:07:20,814,320,0,724.388,541.995,160.0,112.5,18000.0,120,0,267.9,313.209
5,Pessimistic Lock,1000,2026-04-13 04:07:22,406,274,0,1191.62,627.231,137.0,165.0,22605.0,274,0,308.712,433.493
5,Pessimistic Lock,1000,2026-04-13 04:07:24,5,401,0,967.511,319.915,200.5,165.0,33082.5,401,0,232.332,314.03
5,Pessimistic Lock,1000,2026-04-13 04:07:26,0,5,0,9.6,3.072,2.5,165.0,412.5,5,0,2.8,4.2
5,Spin Lock,500,2026-04-13 04:18:25,421,79,0,34.532,36.68,39.5,74.0,2923.0,0,0,7.823,12.975
5,Spin Lock,500,2026-04-13 04:18:27,318,337,0,524.19,344.08,168.5,132.326,22297.0,216,0,145.359,169.955
5,Spin Lock,500,2026-04-13 04:18:29,19,69,0,7.42,5.539,34.5,165.0,5692.5,69,0,1.71,2.623
5,Spin Lock,500,2026-04-13 04:18:31,1,14,0,11.643,5.313,7.0,165.0,1155.0,14,0,2.786,4.786
5,Spin Lock,500,2026-04-13 04:18:33,0,1,0,12.0,0.0,0.5,165.0,82.5,1,0,4.0,6.0
5,Spin Lock,800,2026-04-13 04:29:39,639,266,0,387.951,433.38,133.0,96.579,12845.0,66,0,119.5,158.391
5,Spin Lock,800,2026-04-13 04:29:41,434,309,0,248.333,278.544,154.5,165.0,25492.5,309,0,75.061,100.748
5,Spin Lock,800,2026-04-13 04:29:43,47,199,0,91.447,199.316,99.5,165.0,16417.5,199,0,27.789,32.015
5,Spin Lock,800,2026-04-13 04:29:45,6,21,0,7.238,4.72,10.5,165.0,1732.5,21,0,1.81,2.762
5,Spin Lock,800,2026-04-13 04:29:47,3,2,0,11.5,1.5,1.0,165.0,165.0,2,0,3.5,6.0
5,Spin Lock,800,2026-04-13 04:29:49,0,3,0,10.333,1.247,1.5,165.0,247.5,3,0,3.667,5.0
5,Spin Lock,1000,2026-04-13 04:40:48,915,90,0,79.578,98.414,45.0,74.0,3330.0,0,0,22.567,37.733
